iter	Logloss
0	0.6900364105
1	0.6875259238
2	0.6843664978
3	0.6817944793
4	0.6794341222
5	0.6775768954
6	0.6753395521
7	0.6733394961
8	0.671250147
9	0.6693428604
10	0.668239609
11	0.66721398
12	0.665642511
13	0.6641073949
14	0.6625834031
15	0.6611196023
16	0.6601980658
17	0.6591355376
18	0.6584244209
19	0.6577033221
20	0.6568549384
21	0.6558779289
22	0.6552022215
23	0.6541341808
24	0.6535644531
25	0.6525856062
26	0.6514777361
27	0.6504360165
28	0.6497707382
29	0.6491004441
30	0.6484699792
31	0.6478768606
32	0.6472234516
33	0.6466286941
34	0.6461630093
35	0.6451428431
36	0.6444489593
37	0.6439329168
38	0.6430865692
39	0.6426384649
40	0.6423711319
41	0.6418752026
42	0.641430674
43	0.6410540339
44	0.6407245236
45	0.6403727147
46	0.6399033549
47	0.6395664945
48	0.6388313908
49	0.6385243775
50	0.6382150797
51	0.637477046
52	0.6371241446
53	0.636714479
54	0.6361436091
55	0.6358713099
56	0.6355890285
57	0.6351725591
58	0.6349496244
59	0.6345168161
60	0.6342687521
61	0.6336916248
62	0.6333422991
63	0.633131333
64	0.6327841924
65	0.6324738021
66	0.6319531906
67	0.6317606492
68	0.6315130322
69	0.6311808401
70	0.6309269159
71	0.6307356162
72	0.630230698
73	0.6300234566
74	0.6297599476
75	0.6295015538
76	0.6290586641
77	0.6288618518
78	0.6287151489
79	0.6283857875
80	0.6281487982
81	0.6278674108
82	0.6276777995
83	0.6274793484
84	0.6272900351
85	0.6269941958
86	0.6266065804
87	0.6264753225
88	0.6263659658
89	0.6261380648
90	0.6259160736
91	0.6257595872
92	0.6256229162
93	0.6254423931
94	0.6252143432
95	0.6250724079
96	0.6249570916
97	0.6244978133
98	0.6243367083
99	0.6239789399
100	0.6238141103
101	0.6236101466
102	0.6234020609
103	0.6231042848
104	0.622917703
105	0.6227690632
106	0.6224959197
107	0.6223455915
108	0.6219007152
109	0.6217573397
110	0.6215362425
111	0.6212573381
112	0.6209627404
113	0.6206892493
114	0.6205720956
115	0.6204273295
116	0.6203100765
117	0.6201802092
